lastName,firstName,positionCode,shootsCatches,heightInInches,weightInPounds,lastAmateurClub,lastAmateurLeague,birthDate,birthCity,birthStateProvince,birthCountry,midtermRank,finalRank,meta_datetime
Pahlsson,Erik,C,L,72,185,Dubuque,USHL,2004-04-09,Landskrona,,SWE,172,177,2025-02-23T15:00:45.998923
McCue,Sam,LW,L,74,193,Owen Sound,OHL,2005-10-03,Sudbury,ON,CAN,141,178,2025-02-23T15:00:45.998923
Valliant,Chase,LW,L,73,177,CALGARY,WHL,2006-05-18,White Rock,BC,CAN,195,179,2025-02-23T15:00:45.998923
Kearsey,Marcus,D,L,70,181,CHARLOTTETOWN,QMJHL,2006-03-17,Corner Brook,NL,CAN,156,180,2025-02-23T15:00:45.998923
Moline,Austin,D,R,76,197,Shattuck-St. Mary's,HIGH-MN,2005-11-21,Las Vegas,NV,USA,182,181,2025-02-23T15:00:45.998923
Keefe,Owen,D,L,72,199,SIOUX CITY,USHL,2006-03-26,Saugus,MA,USA,122,182,2025-02-23T15:00:45.998923
Hewson,Easton,D,L,76,221,WATERLOO,USHL,2005-07-08,Edmonton,AB,CAN,199,183,2025-02-23T15:00:45.998923
Von Richter,Parker,D,R,73,195,BRAMPTON,OHL,2006-05-17,Toronto,ON,CAN,135,184,2025-02-23T15:00:45.998923
Brunet,Simon-Pier,D,R,74,196,Drummondville,QMJHL,2005-10-24,Gatineau,QC,CAN,145,185,2025-02-23T15:00:45.998923
Free,Nathan,RW,R,70,163,BROOKS,BCHL,2006-06-23,Calgary,AB,CAN,185,186,2025-02-23T15:00:45.998923
Drancak,Samuel,C,L,72,187,RED DEER,WHL,2006-02-04,Strakonice,,CZE,221,187,2025-02-23T15:00:45.998923
Prishchepov,Nikita,C,L,73,194,Victoriaville,QMJHL,2004-02-20,Orenburg,,RUS,,188,2025-02-23T15:00:45.998923
Gendron,Justin,RW,R,74,183,BAIE-COMEAU,QMJHL,2005-09-30,Dieppe,NB,CAN,178,189,2025-02-23T15:00:45.998923
Goukler,Luke,LW,L,70,175,CHICAGO,USHL,2006-08-11,Atlanta,GA,USA,159,190,2025-02-23T15:00:45.998923
Repcik,Peter,C,L,72,184,KOSICE,SLOVAKIA,2004-01-09,Kosice,,SVK,154,191,2025-02-23T15:00:45.998923
Gazizov,Ruslan,LW,L,70,182,,,2004-01-21,Omsk,,RUS,,192,2025-02-23T15:00:45.998923
Huff,Luken,D,R,74,198,CEDAR RAPIDS,USHL,2006-01-30,Mazama,WA,USA,,193,2025-02-23T15:00:45.998923
Cristoforo,Anthony,D,R,71,191,WINDSOR,OHL,2006-02-23,Toronto,ON,CAN,101,194,2025-02-23T15:00:45.998923
MacPherson,Connor,RW,R,72,173,NEW HAMPSHIRE,H-EAST,2005-03-02,Windsor,ON,CAN,179,195,2025-02-23T15:00:45.998923
Lunski,Alex,C,L,76,215,MADISON,USHL,2005-12-13,Minnetonka,MN,USA,132,196,2025-02-23T15:00:45.998923
Monteiro,JJ,LW,L,72,203,SIOUX FALLS,USHL,2006-01-12,Hudson,MA,USA,160,197,2025-02-23T15:00:45.998923
Lapointe,Noah,D,L,72,197,CHICAGO,USHL,2006-06-05,Hinsdale,IL,USA,207,198,2025-02-23T15:00:45.998923
Parks,Lee,RW,R,74,219,UMASS LOWELL,H-EAST,2004-10-16,Ottawa,ON,CAN,,199,2025-02-23T15:00:45.998923
Sumpf,Julius,C,L,73,190,MONCTON,QMJHL,2005-01-11,Munich,,DEU,128,200,2025-02-23T15:00:45.998923
Epperson,Kristian,LW,L,72,183,SAGINAW,OHL,2006-05-16,Mequon,WI,USA,88,201,2025-02-23T15:00:45.998923
Pickford,Bryce,D,R,72,183,MEDICINE HAT,WHL,2006-04-02,Edmonton,AB,CAN,214,202,2025-02-23T15:00:45.998923
Young,Mitchell,D,L,72,184,SARNIA,OHL,2005-04-29,Elmira,ON,CAN,,203,2025-02-23T15:00:45.998923
Williams,Dax,D,L,72,198,CALGARY,WHL,2005-09-28,Calgary,AB,CAN,211,204,2025-02-23T15:00:45.998923
Cloutier,Pier-Etienne,LW,L,76,200,MONCTON,QMJHL,2005-11-23,Metabetchouan,QC,CAN,166,205,2025-02-23T15:00:45.998923
Fryer,Seth,D,R,78,199,VICTORIA,WHL,2006-06-23,Victoria,BC,CAN,,206,2025-02-23T15:00:45.998923
Waterfield,Drew,RW,R,74,204,MADISON,USHL,2006-03-20,Aurora,IL,USA,202,207,2025-02-23T15:00:45.998923
McCallum,Braydon,C,R,70,185,PETERBOROUGH,OHL,2006-05-03,Brantford,ON,CAN,,208,2025-02-23T15:00:45.998923
Pardue,Charles,C,R,70,176,TRI-CITY,USHL,2006-01-05,Stamford,CT,USA,186,209,2025-02-23T15:00:45.998923
Mueller,Miles,C,L,72,194,AMBRI,SWISS,2004-12-19,Biel-Bienne,,CHE,,210,2025-02-23T15:00:45.998923
Kald,Erik,D,R,74,211,CEDAR RAPIDS,USHL,2006-03-06,Oyster Bay,NY,USA,215,211,2025-02-23T15:00:45.998923
Hadland,Caleb,LW,L,70,186,BRANDON,WHL,2006-03-06,Fort St. John,BC,CAN,175,212,2025-02-23T15:00:45.998923
McInnis,Keith,D,L,73,197,BROOKS,BCHL,2006-01-08,Red Deer County,AB,CAN,,213,2025-02-23T15:00:45.998923
Gardula,Ethan,LW,L,72,185,UCONN,H-EAST,2005-02-28,Worcester,MA,USA,209,214,2025-02-23T15:00:45.998923
Sadowski,Jack,LW,L,71,174,WEST KELOWNA,BCHL,2006-07-29,Arlington,MA,USA,193,215,2025-02-23T15:00:45.998923
Fluker,Josh,D,R,72,166,WENATCHEE,WHL,2006-01-03,Brandon,MB,CAN,139,216,2025-02-23T15:00:45.998923
Paquette,Charlie,RW,R,74,207,GUELPH,OHL,2005-12-06,Windsor,ON,CAN,191,217,2025-02-23T15:00:45.998923
Henneberry,Joseph,C,L,74,194,CAPE BRETON,QMJHL,2004-12-20,Halifax,NS,CAN,,218,2025-02-23T15:00:45.998923
Jelsma,Beau,C,L,70,182,BARRIE,OHL,2004-04-28,London,ON,CAN,,219,2025-02-23T15:00:45.998923
Dirracolo,Max,D,L,76,217,KITCHENER,OHL,2006-06-29,Barrie,ON,CAN,,220,2025-02-23T15:00:45.998923
Sharp,Zachary,D,L,73,180,WESTERN MICHIGAN,NCHC,2005-03-29,Naperville,IL,USA,,221,2025-02-23T15:00:45.998923
Jenken,Matthew,D,R,76,202,PETERBOROUGH,OHL,2005-10-12,London,ON,CAN,,222,2025-02-23T15:00:45.998923
Hodnett,Gavin,LW,L,67,160,EDMONTON,WHL,2006-04-09,Winnipeg,MB,CAN,224,223,2025-02-23T15:00:45.998923
Ward,Landen,LW,L,75,212,MOOSE JAW,WHL,2006-04-19,New York City,NY,USA,192,224,2025-02-23T15:00:45.998923
Hilton,Charles,LW,L,77,212,SAULT STE. MARIE,OHL,2006-09-15,Oshawa,ON,CAN,127,,2025-02-23T15:00:45.998923
Eichler,Josef,D,R,72,195,WINDSOR,OHL,2005-12-14,Benesov,,CZE,146,,2025-02-23T15:00:45.998923
Cardilli,Anthony,C,L,75,198,GREEN BAY,USHL,2005-10-13,Mokena,IL,USA,164,,2025-02-23T15:00:45.998923
Butella,Eero,RW,R,76,182,FARGO,USHL,2006-02-21,Chicago,IL,USA,165,,2025-02-23T15:00:45.998923
Heise,Max,C,R,74,169,PENTICTON,BCHL,2006-02-26,Calgary,AB,CAN,171,,2025-02-23T15:00:45.998923
Mignosa,Marco,RW,R,71,172,SAULT STE. MARIE,OHL,2005-04-13,Toronto,ON,CAN,173,,2025-02-23T15:00:45.998923
Taillefer,Mathieu,D,R,73,179,HALIFAX,QMJHL,2006-01-30,Richelieu,QC,CAN,176,,2025-02-23T15:00:45.998923
Guy,Alexandre,RW,R,74,197,CAPE BRETON,QMJHL,2005-11-11,Blainville,QC,CAN,177,,2025-02-23T15:00:45.998923
Blais-Savoie,Philippe,D,L,72,190,COLORADO COLLEGE,NCHC,2005-06-10,San Jose,CA,USA,181,,2025-02-23T15:00:45.998923
Lounsbury,Preston,C,L,72,180,MONCTON,QMJHL,2005-04-12,Moncton,NB,CAN,189,,2025-02-23T15:00:45.998923
Wilke,Trae,LW,L,72,192,,,2006-04-20,Saskatoon,SK,CAN,190,,2025-02-23T15:00:45.998923
Larioza,Nate,D,L,73,200,NANAIMO,BCHL,2006-08-22,Los Gatos,CA,USA,194,,2025-02-23T15:00:45.998923
Felicio,Will,D,L,70,160,MICHIGAN,BIG10,2006-05-19,Worcester,MA,USA,196,,2025-02-23T15:00:45.998923
Dell'elce,Francesco,D,L,72,170,UMASS,H-EAST,2005-06-23,Nobleton,ON,CAN,197,,2025-02-23T15:00:45.998923
Cleaves,Cooper,D,R,75,203,GREEN BAY,USHL,2006-01-05,New York City,NY,USA,201,,2025-02-23T15:00:45.998923
Topp,Rowan,D,R,73,203,GUELPH,OHL,2006-04-02,St. Anns,ON,CAN,205,,2025-02-23T15:00:45.998923
Davidson,Hyde,D,L,74,172,SEATTLE,WHL,2006-01-23,Nuremberg,,DEU,206,,2025-02-23T15:00:45.998923
Sebastian,Eli,C,L,71,185,NORTHEASTERN,H-EAST,2004-05-19,Burlington,ON,CAN,208,,2025-02-23T15:00:45.998923
Plamondon,Felix,D,L,72,163,SHAWINIGAN,QMJHL,2006-03-18,Saint-Raymond,QC,CAN,212,,2025-02-23T15:00:45.998923
Dorion,Antoine,C,R,73,198,Quebec,QMJHL,2005-11-02,Orleans,ON,CAN,213,,2025-02-23T15:00:45.998923
McNamara,Luke,C,L,74,179,WINDSOR,OHL,2005-03-02,Mississauga,ON,CAN,216,,2025-02-23T15:00:45.998923
Galanek,John,C,L,71,177,MUSKEGON,USHL,2006-06-04,Hopkinton,MA,USA,217,,2025-02-23T15:00:45.998923
Serlin,Leo,RW,R,72,191,GUELPH,OHL,2006-01-20,Toronto,ON,CAN,218,,2025-02-23T15:00:45.998923
Good,Jack,LW,L,69,173,BROOKS,BCHL,2006-03-31,Ajax,ON,CAN,219,,2025-02-23T15:00:45.998923
Kubiesa,Matej,RW,R,72,172,TRINEC JR.,CZECHIA-JR.,2006-09-11,Frydek-Mistek,,CZE,220,,2025-02-23T15:00:45.998923
Hyles,Kole,C,R,72,189,CEDAR RAPIDS,USHL,2006-01-16,Newfields,NH,USA,222,,2025-02-23T15:00:45.998923
Titlbach,Adam,LW,L,68,168,VANCOUVER,WHL,2006-02-15,Most,,CZE,223,,2025-02-23T15:00:45.998923
Wright,Shane,C,R,72,199,Kingston,OHL,2004-01-05,Burlington,ON,CAN,1,1,2025-02-23T15:00:46.012533
Cooley,Logan,C,L,70,180,USA U-18,NTDP,2004-05-04,Pittsburgh,PA,USA,2,2,2025-02-23T15:00:46.012533
Gauthier,Cutter,LW,L,74,200,USA U-18,NTDP,2004-01-19,Skelleftea,,SWE,6,3,2025-02-23T15:00:46.012533
Savoie,Matthew,C,R,69,170,Winnipeg,WHL,2004-01-01,St. Albert,AB,CAN,3,4,2025-02-23T15:00:46.012533
Geekie,Conor,C,L,76,190,Winnipeg,WHL,2004-05-05,Strathclair,MB,CAN,4,5,2025-02-23T15:00:46.012533
Mintyukov,Pavel,D,L,74,194,Saginaw,OHL,2003-11-25,Moscow,,RUS,5,6,2025-02-23T15:00:46.012533
Korchinski,Kevin,D,L,74,187,Seattle,WHL,2004-06-21,Saskatoon,SK,CAN,20,7,2025-02-23T15:00:46.012533
Del Belluz,Luca,C,L,73,182,Mississauga,OHL,2003-11-10,Woodbridge,ON,CAN,11,8,2025-02-23T15:00:46.012533
Howard,Isaac,LW,L,70,180,USA U-18,NTDP,2004-03-30,Hudson,WI,USA,12,9,2025-02-23T15:00:46.012533
Beck,Owen,C,R,72,188,Mississauga,OHL,2004-02-03,Port Hope,ON,CAN,19,10,2025-02-23T15:00:46.012533
Snuggerud,Jimmy,RW,R,73,188,USA U-18,NTDP,2004-06-01,Minneapolis,MN,USA,8,11,2025-02-23T15:00:46.012533
Firkus,Jagger,RW,R,70,162,Moose Jaw,WHL,2004-04-29,Irma,AB,CAN,33,12,2025-02-23T15:00:46.012533
Goyette,David,C,L,71,182,Sudbury,OHL,2004-03-27,Saint-Jerome,QC,CAN,35,13,2025-02-23T15:00:46.012533
Mateychuk,Denton,D,L,71,191,Moose Jaw,WHL,2004-07-12,Winnipeg,MB,CAN,9,14,2025-02-23T15:00:46.012533
Pickering,Owen,D,L,76,182,Swift Current,WHL,2004-01-27,St. Adolphe,MB,CAN,21,15,2025-02-23T15:00:46.012533
Gaucher,Nathan,C,R,76,209,Quebec,QMJHL,2003-11-06,Chambly,QC,CAN,16,16,2025-02-23T15:00:46.012533
Lorenz,Rieger,LW,L,74,194,Okotoks,AJHL,2004-03-30,Calgary,AB,CAN,24,17,2025-02-23T15:00:46.012533
Chesley,Ryan,D,R,72,201,USA U-18,NTDP,2004-02-27,St. Paul,MN,USA,22,18,2025-02-23T15:00:46.012533
Rinzel,Sam,D,R,77,180,Chaska,HIGH-MN,2004-06-25,Chanhassen,MN,USA,26,19,2025-02-23T15:00:46.012533
Lamoureux,Maveric,D,R,79,214,Drummondville,QMJHL,2004-01-13,Laval,QC,CAN,15,20,2025-02-23T15:00:46.012533
Nazar,Frank,C,R,70,180,USA U-18,NTDP,2004-01-14,Detroit,MI,USA,17,21,2025-02-23T15:00:46.012533
McGroarty,Rutger,RW,L,73,204,USA U-18,NTDP,2004-03-30,Lincoln,NE,USA,18,22,2025-02-23T15:00:46.012533
Sapovaliv,Matyas,C,L,76,196,Saginaw,OHL,2004-02-12,Prague,,CZE,13,23,2025-02-23T15:00:46.012533
Luneau,Tristan,D,R,74,197,Gatineau,QMJHL,2004-01-12,Victoriaville,QC,CAN,10,24,2025-02-23T15:00:46.012533
Hutson,Lane,D,L,68,158,USA U-18,NTDP,2004-02-14,Holland,MI,USA,31,25,2025-02-23T15:00:46.012533
Hughes,Jack,C,L,72,169,Northeastern U.,H-EAST,2003-11-02,Westwood,MA,USA,7,26,2025-02-23T15:00:46.012533
Ingram,Adam,C,L,74,161,Youngstown,USHL,2003-10-14,Winnipeg,MB,CAN,14,27,2025-02-23T15:00:46.012533
Minten,Fraser,C,L,73,185,Kamloops,WHL,2004-07-05,Vancouver,BC,CAN,34,28,2025-02-23T15:00:46.012533
Casey,Seamus,D,R,70,173,USA U-18,NTDP,2004-01-08,Miami,FL,USA,32,29,2025-02-23T15:00:46.012533
Buchinger,Michael,D,L,72,191,Guelph,OHL,2004-04-25,Markham,ON,CAN,36,30,2025-02-23T15:00:46.012533
Schaefer,Reid,LW,L,76,218,Seattle,WHL,2003-09-21,Edmonton,AB,CAN,85,31,2025-02-23T15:00:46.012533
Nelson,Ty,D,R,70,210,North Bay,OHL,2004-03-30,Toronto,ON,CAN,25,32,2025-02-23T15:00:46.012533
Warren,Noah,D,R,77,225,Gatineau,QMJHL,2004-07-15,Montreal,QC,CAN,49,33,2025-02-23T15:00:46.012533
McConnell-Barker,Bryce,C,L,73,190,Sault Ste. Marie,OHL,2004-06-04,London,ON,CAN,28,34,2025-02-23T15:00:46.012533
Zhilkin,Danil,C,L,73,190,Guelph,OHL,2003-12-19,Moscow,,RUS,27,35,2025-02-23T15:00:46.012533
Finley,Quinn,C,L,72,178,Madison,USHL,2004-08-08,Valparaiso,IN,USA,45,36,2025-02-23T15:00:46.012533
James,Dylan,LW,L,72,177,Sioux City,USHL,2003-10-12,Calgary,AB,CAN,67,37,2025-02-23T15:00:46.012533
Filmon,Josh,LW,L,74,171,Swift Current,WHL,2004-03-18,Winnipeg,MB,CAN,51,38,2025-02-23T15:00:46.012533
Moldenhauer,Nicholas,RW,R,70,170,Chicago,USHL,2004-05-25,Oakville,ON,CAN,48,39,2025-02-23T15:00:46.012533
Lund,Cameron,C,R,74,192,Green Bay,USHL,2004-06-07,Bridgewater,MA,USA,37,40,2025-02-23T15:00:46.012533
Lucius,Cruz,RW,R,73,184,USA U-18,NTDP,2004-04-05,Lawrence,KS,USA,925,41,2025-02-23T15:00:46.012533
Rohrer,Vinzenz,C,R,70,165,Ottawa,OHL,2004-09-09,Rankweil,,AUT,46,42,2025-02-23T15:00:46.012533
Gustafson,Jordan,C,L,71,189,Seattle,WHL,2004-01-20,Edmonton,AB,CAN,43,43,2025-02-23T15:00:46.012533
Haight,Hunter,C,R,72,182,Barrie,OHL,2004-04-04,Strathroy,ON,CAN,47,44,2025-02-23T15:00:46.012533
Poitras,Matthew,C,R,71,183,Guelph,OHL,2004-03-10,Ajax,ON,CAN,23,45,2025-02-23T15:00:46.012533
Greene,Ryan,C,R,73,183,Green Bay,USHL,2003-10-21,Paradise,NL,CAN,41,46,2025-02-23T15:00:46.012533
Lindgren,Mats,D,L,71,173,Kamloops,WHL,2004-08-26,Vancouver,BC,CAN,30,47,2025-02-23T15:00:46.012533
Kyrou,Christian,D,R,70,172,Erie,OHL,2003-09-16,Toronto,ON,CAN,179,48,2025-02-23T15:00:46.012533
Ludwinski,Paul,C,L,72,180,Kingston,OHL,2004-04-23,Toronto,ON,CAN,29,49,2025-02-23T15:00:46.012533
MacDonald,Ben,C,L,72,175,Noble & Greenough,HIGH-MA,2004-02-24,Boston,MA,USA,60,50,2025-02-23T15:00:46.012533
Hayes,Gavin,RW,R,74,178,Flint,OHL,2004-05-14,Westland,MI,USA,68,51,2025-02-23T15:00:46.012533
Fisher,Michael,D,R,74,212,St. Mark's School,HIGH-MA,2004-05-02,Westborough,MA,USA,44,52,2025-02-23T15:00:46.012533
George,Isaiah,D,L,72,198,London,OHL,2004-02-15,Oakville,ON,CAN,42,53,2025-02-23T15:00:46.012533
Livanavage,Jake,D,L,70,175,NORTH DAKOTA,NCHC,2004-05-06,Mesa,AZ,USA,90,54,2025-02-23T15:00:46.012533
Spacek,David,D,R,72,176,Sherbrooke,QMJHL,2003-02-18,Columbus,OH,USA,81,55,2025-02-23T15:00:46.012533
Weir,Jace,D,R,74,186,RED DEER,WHL,2004-05-21,Fort McMurray,AB,CAN,55,56,2025-02-23T15:00:46.012533
Gucciardi,David,D,L,73,185,Michigan State U.,BIG10,2002-10-09,Toronto,ON,CAN,74,57,2025-02-23T15:00:46.012533
Petrovsky,Servac,C,L,70,185,Owen Sound,OHL,2004-08-10,Presov,,SVK,52,58,2025-02-23T15:00:46.012533
Guindon,Cedrick,LW,L,70,179,Owen Sound,OHL,2004-04-21,Rockland,ON,CAN,76,59,2025-02-23T15:00:46.012533
Langlois,Jeremy,D,L,72,187,Cape Breton,QMJHL,2003-09-19,Quebec City,QC,CAN,59,60,2025-02-23T15:00:46.012533
Kaplan,Devin,RW,R,75,205,USA U-18,NTDP,2004-01-10,Bridgewater,NJ,USA,65,61,2025-02-23T15:00:46.012533
Karabela,Jake,C,L,71,188,Guelph,OHL,2004-03-07,Guelph,ON,CAN,61,62,2025-02-23T15:00:46.012533
Bump,Alex,LW,L,73,200,Prior Lake,HIGH-MN,2003-11-20,Burnsville,MN,USA,69,63,2025-02-23T15:00:46.012533
Plante,Zam,C,L,70,170,Hermantown,HIGH-MN,2004-08-24,Mannheim,,DEU,40,64,2025-02-23T15:00:46.012533
Devine,Jack,RW,R,71,177,Denver,NCHC,2003-10-01,Glencoe,IL,USA,64,65,2025-02-23T15:00:46.012533
Jugnauth,Tyson,D,L,71,155,West Kelowna,BCHL,2004-04-17,Toronto,ON,CAN,134,66,2025-02-23T15:00:46.012533
Sarsland,Tristan,D,R,72,193,CLARKSON,ECAC,2004-02-25,Livingston,NJ,USA,82,67,2025-02-23T15:00:46.012533
Furlong,Jake,D,L,72,198,Halifax,QMJHL,2004-03-04,Labrador City,NL,CAN,53,68,2025-02-23T15:00:46.012533
Davies,Josh,LW,L,69,197,Swift Current,WHL,2004-03-24,Calgary,AB,CAN,127,69,2025-02-23T15:00:46.012533
Healey,Ryan,D,R,72,172,Sioux Falls,USHL,2004-05-19,Chicago,IL,USA,73,70,2025-02-23T15:00:46.012533
Dorrington,Jackson,D,L,74,192,Des Moines,USHL,2004-04-13,Manchester,NH,USA,57,71,2025-02-23T15:00:46.012533
Seminoff,Matthew,RW,R,71,180,Kamloops,WHL,2003-12-27,Leesburg,VA,USA,50,72,2025-02-23T15:00:46.012533
Dumais,Jordan,RW,R,68,172,Halifax,QMJHL,2004-04-15,Montreal,QC,CAN,72,73,2025-02-23T15:00:46.012533
Lisowsky,Brandon,LW,L,68,171,Saskatoon,WHL,2004-04-13,Burnaby,BC,CAN,87,74,2025-02-23T15:00:46.012533
Fimis,Pano,C,R,70,186,ERIE,OHL,2004-06-17,Markham,ON,CAN,77,75,2025-02-23T15:00:46.012533
Schuurman,Brayden,C,R,70,200,SEATTLE,WHL,2004-02-22,Abbotsford,BC,CAN,58,76,2025-02-23T15:00:46.012533
O'Neill,Cameron,RW,R,71,202,Mount St. Charles,HIGH-RI,2004-01-24,Odenton,MD,USA,102,77,2025-02-23T15:00:46.012533
Mastrodomenico,Michael,D,R,72,196,NOTRE DAME,BIG10,2004-04-19,Kirkland,QC,CAN,79,78,2025-02-23T15:00:46.012533
Siepmann,Grayden,D,R,70,185,SASKATOON,WHL,2004-05-26,Windsor,ON,CAN,139,79,2025-02-23T15:00:46.012533
Sova,Spencer,D,L,73,190,BRAMPTON,OHL,2004-01-10,Windsor,ON,CAN,38,80,2025-02-23T15:00:46.012533
Donovan,Jorian,D,L,74,195,Hamilton,OHL,2004-04-05,Calgary,AB,CAN,39,81,2025-02-23T15:00:46.012533
Fegaras,George,D,R,73,199,North York,OJHL,2004-04-26,Richmond Hill,ON,CAN,91,82,2025-02-23T15:00:46.012533
Ali,Brennan,C,L,72,200,Avon Old Farms H.S.,HIGH-CT,2004-02-09,Glenco,IL,USA,63,83,2025-02-23T15:00:46.012533
Knuble,Cole,C,R,70,185,Fargo,USHL,2004-07-01,Grand Rapids,MI,USA,118,84,2025-02-23T15:00:46.012533
Konyen,Evan,RW,R,70,174,FLINT,OHL,2004-02-22,Newmarket,ON,CAN,88,85,2025-02-23T15:00:46.012533
Hemmerling,Ben,LW,R,71,175,Everett,WHL,2004-04-21,Edmonton,AB,CAN,154,86,2025-02-23T15:00:46.012533
Roersma,Rylen,LW,L,71,189,EDMONTON,WHL,2004-07-25,Lethbridge,AB,CAN,99,87,2025-02-23T15:00:46.012533
Jelsma,Beau,C,L,70,182,BARRIE,OHL,2004-04-28,London,ON,CAN,137,88,2025-02-23T15:00:46.012533
Mosko,Marian,D,L,71,187,CORNELL,ECAC,2004-05-11,Zilina,,SVK,164,89,2025-02-23T15:00:46.012533
Savoie,Samuel,LW,L,70,200,Gatineau,QMJHL,2004-03-25,Moncton,NB,CAN,123,90,2025-02-23T15:00:46.012533
La Starza,Michael,RW,L,71,189,VERMONT,H-EAST,2004-01-14,Montreal,QC,CAN,78,91,2025-02-23T15:00:46.012533
Booth,Angus,D,L,72,177,Shawinigan,QMJHL,2004-04-27,Montr̩al,QC,CAN,54,92,2025-02-23T15:00:46.012533
Sward,Graham,D,L,74,195,Spokane,WHL,2003-09-12,Abbotsford,BC,CAN,148,93,2025-02-23T15:00:46.012533
Lombardi,Amadeus,C,L,71,171,Flint,OHL,2003-06-05,Newmarket,ON,CAN,,94,2025-02-23T15:00:46.012533
Sidorov,Yegor,RW,L,72,180,Saskatoon,WHL,2004-06-18,Vitebsk,,BLR,112,95,2025-02-23T15:00:46.012533
King,Benjamin,C,R,74,205,Red Deer,WHL,2002-05-15,Vernon,BC,CAN,,96,2025-02-23T15:00:46.012533
Gardner,Daimon,C,L,76,208,Warroad,HIGH-MN,2004-01-18,Eagle Lake,ON,CAN,101,97,2025-02-23T15:00:46.012533
Barbashev,Maxim,LW,L,73,181,Moncton,QMJHL,2003-12-18,Moscow,,RUS,86,98,2025-02-23T15:00:46.012533
Fisher,James,RW,R,74,192,Belmont Hill H.S.,HIGH-MA,2004-04-28,Burlington,MA,USA,116,99,2025-02-23T15:00:46.012533
Gaudet,Marc-Andre,D,L,75,180,Acadie-Bathurst,QMJHL,2003-10-24,Moncton,NB,CAN,115,100,2025-02-23T15:00:46.012533
Hopkins,Ryan,D,R,73,183,,,2004-04-15,Lunenburg,NS,CAN,158,101,2025-02-23T15:00:46.012533
Brown,Garrett,D,R,74,195,Sioux City,USHL,2004-04-04,Buffalo,NY,USA,185,102,2025-02-23T15:00:46.012533
Maggio,Matthew,RW,R,71,189,Windsor,OHL,2002-11-25,Windsor,ON,CAN,,103,2025-02-23T15:00:46.012533
Edmonds,Lucas,RW,R,70,181,Kingston,OHL,2001-01-27,North Bay,ON,CAN,107,104,2025-02-23T15:00:46.012533
Buteau,Francois-James,D,L,75,206,ACADIE-BATHURST,QMJHL,2004-04-28,Montreal,QC,CAN,94,105,2025-02-23T15:00:46.012533
Perkins,Matthew,C,L,71,156,Youngstown,USHL,2004-01-21,Regina,SK,CAN,117,106,2025-02-23T15:00:46.012533
Hvidston,Connor,C,L,74,170,Swift Current,WHL,2004-09-11,Saskatoon,SK,CAN,,107,2025-02-23T15:00:46.012533
Kudryavtsev,Kirill,D,L,72,203,Sault Ste. Marie,OHL,2004-02-05,Yaroslavl,,RUS,103,108,2025-02-23T15:00:46.012533
Thornton,Hudson,D,L,71,189,,,2003-11-04,Winnipeg,MB,CAN,211,109,2025-02-23T15:00:46.012533
Dyck,Tyson,C,L,71,166,Cranbrook,BCHL,2004-02-06,Abbotsford,BC,CAN,191,110,2025-02-23T15:00:46.012533
Sloan,Jake,C,R,75,216,TRI-CITY,WHL,2004-02-13,Girvan,,GBR,97,111,2025-02-23T15:00:46.012533
Bell,Parker,LW,L,76,207,Tri-City,WHL,2003-09-26,Estevan,SK,CAN,93,112,2025-02-23T15:00:46.012533
Brunet,Frederic,D,L,74,176,Rimouski,QMJHL,2003-08-21,Gatineau,QC,CAN,221,113,2025-02-23T15:00:46.012533
Romaine,Chris,D,R,73,197,Milton Academy,HIGH-MA,2004-02-21,Boston,MA,USA,159,114,2025-02-23T15:00:46.012533
Arnsby,Liam,C,R,70,181,North Bay,OHL,2003-11-20,Ajax,ON,CAN,66,115,2025-02-23T15:00:46.012533
Vidicek,Markus,C,L,69,174,MONCTON,QMJHL,2004-03-21,Montreal,QC,CAN,98,116,2025-02-23T15:00:46.012533
Leddy,Charles,D,R,72,186,USA U-18,NTDP,2004-01-11,Fairfield,CT,USA,84,117,2025-02-23T15:00:46.012533
Dionicio,Rodwin,D,L,74,218,Windsor,OHL,2004-03-30,New Jersey,NJ,USA,132,118,2025-02-23T15:00:46.012533
Milne,Michael,LW,L,70,185,Winnipeg,WHL,2002-09-21,Abbotsford,BC,CAN,80,119,2025-02-23T15:00:46.012533
Dowhaniuk,Keaton,D,L,72,172,RED DEER,WHL,2004-02-08,Edmonton,AB,CAN,136,120,2025-02-23T15:00:46.012533
Spicer,Cole,C,L,71,184,USA U-18,NTDP,2004-06-13,Grand Forks,ND,USA,122,121,2025-02-23T15:00:46.012533
Delic,Kocha,C,L,70,200,SUDBURY,OHL,2004-03-11,Ottawa,ON,CAN,200,122,2025-02-23T15:00:46.012533
Edward,Jackson,D,L,75,196,London,OHL,2004-02-27,Newmarket,ON,CAN,75,123,2025-02-23T15:00:46.012533
Fenenko,Niks,D,L,73,178,KETTERA,FINLAND-2,2004-08-18,Jurmala,,LVA,189,124,2025-02-23T15:00:46.012533
Gruba,Leo,D,R,73,209,MINNESOTA,BIG10,2003-12-14,Lake Elmo,MN,USA,100,125,2025-02-23T15:00:46.012533
Mathurin,Tnias,D,L,74,203,North Bay,OHL,2004-01-15,Ajax,ON,CAN,152,126,2025-02-23T15:00:46.012533
Sparkes,Jack,D,R,80,238,St. Michael's,OJHL,2003-10-20,Toronto,ON,CAN,71,127,2025-02-23T15:00:46.012533
